"key";"cz";"en";"sk";"de"
"stats.days";"{0} {0, choice, 0#dní|1#den|2#dny|5#dní}";"{0} {0, choice, 0#days|1#day|2#days}";"{0} {0, choice, 0#dní|1#deň|2#dni|5#dní}";"{0} {0, choice, 0#Tag|1#Tag|2#Tage|5#Tage}"
"stats.headline";"Statistika rodokmenu";"Statistics";"Štatistika rodokmeňa";"Stammbaum - Statistik"
"stats.maxAgeOfAlive";"Nejstarší žijící";"The oldest alive";"Najstarší žijúci";"Älteste lebende Person"
"stats.maxAgeOfDead";"Nejvyšší věk ze zesnulých";"Maximal age of dead";"Najvyšší vek zo zosnulých";"Das höchste Alter der Verstorbenen"
"stats.men";"Muži";"Men";"Muži";"Männer"
"stats.minAgeOfAlive";"Nejmladší žijící";"The youngest alive";"Najmladší žijúci";"Jüngste lebende Person"
"stats.minAgeOfDead";"Nejnižší věk ze zesnulých";"Minimal age of dead";"Najnižší vek zo zosnulých";"Niedrigstes Alter der Verstorbenen"
"stats.months";"{0} {0, choice, 0#měsíců|1#měsíc|2#měsíce|5#měsíců}";"{0} {0, choice, 0#months|1#month|2#months}";"{0} {0, choice, 0#mesiacov|1#mesiac|2#mesiace|5#mesiacov}";"{0} {0, choice, 0#Monaten|1#Monat|2#Monaten|5#Monaten}"
"stats.monthsPlusMinus";"{0}&plusmn;1 měsíc";"{0}&plusmn;1 month";"{0}&plusmn;1 mesiac";"{0}&plusmn;1 Monat"
"stats.notice";"Údaje, které nejsou s přesností na dny, jsou přibližné. Existuje-li u jiné osoby přesnější údaj v daném rozmezí, je použita tato osoba.";"Records that are not known in day precision are approximate. In case other person has more accurate record in the same interval this person is used.";"Údaje, ktoré nie sú s presnosťou na dni, sú len približné. Ak existuje pri inej osobe presnejší údaj v danom rozmedzí, je použitá táto osoba.";"Daten welcher die nicht auf den Tag genau festgelegt, sind beiläufig. Falls es bei einer anderen Person genauere Angabe im gegebenen Bereich gibt, wird diese Person verwendet."
"stats.numberOfGeneration";"Počet generací: {0}";"Number of generation: {0}";"Počet generácií: {0}";"Anzahl der Generationen: {0}"
"stats.numberOfMen";"Počet mužů: {0} ({1} naživu)";"Number of men: {0} ({1} alive)";"Počet mužov: {0} ({1} nažive)";"Anzahl der Männer: {0} ({1}  lebend)"
"stats.numberOfPeople";"Počet osob: {0} ({1} naživu)";"Number of people: {0} ({1} alive)";"Počet osôb: {0} ({1} nažive)";"Anzahl der Personen: {0} ({1} lebend)"
"stats.numberOfWomen";"Počet žen: {0} ({1} naživu)";"Number of women: {0} ({1} alive)";"Počet žien: {0} ({1} nažive)";"Anzahl der Frauen: {0} ({1} lebend)"
"stats.onlyDays";"{0} {0, choice, 0#dní|1#den|2#dny|5#dní}";"{0} {0, choice, 0#days|1#day|2#days}";"{0} {0, choice, 0#dní|1#deň|2#dni|5#dní}";"{0} {0, choice, 0#Tag|1#Tag|2#Tage|5#Tage}"
"stats.relevantToDate";"údaj k {0}";"relevant to {0}";"údaj k {0}";"Informationen zu {0}"
"stats.women";"Ženy";"Women";"Ženy";"Frauen"
"stats.years";"{0} {0, choice, 0#roků|1#rok|2#roky|5#let}";"{0} {0, choice, 0#years|1#year|2#years}";"{0} {0, choice, 0#rokov|1#rok|2#roky|5#rokov}";"{0} {0, choice, 0#Jahre|1#Jahr|2#Jahre|5#Jahre}"
"stats.yearsPlusMinus";"{0}&plusmn;1 rok";"{0}&plusmn;1 year";"{0}&plusmn;1 rok";"{0}&plusmn;1 Jahr"
"person.hidden";"Data osoby jsou skryta";"Data of person are hidden";"Dáta osoby sú skryté";"Personenbezogene Daten sind versteckt"
"person.deathCause";"Příčina úmrtí";"Death cause";"Príčina úmrtia";"Ursache des Todes"
"person.burialPlace";"Místo pohřbení";"Burial place";"Miesto pochovania";"Begräbnisort"
"list.lastNamesInfo";"Pozn.: U všech osob je uvedeno aktuální příjmení, rodné příjmení je (pokud se liší) uvedeno v závorce.";"Note: All people are shown with last names. Maiden names are shown in brackets (in case they are different)";"Pozn.: Pri všetkých osobách je uvedené aktuálne priezvisko. Rodné priezvisko je (pokiaľ sa líši) uvedené v zátvorke.";"Hinweis: bei allen Personen wird der tatsächliche Familienname angegeben. Mädchenname ist (falls abweichend) in Klammern angegebenen."
"father.unknown";"Otec neznámý";"Unknown father";"Otec neznámy";"Der Vater ist unbekannt"
"mother.unknown";"Matka neznámá";"Unknown mother";"Matka neznáma";"Die Mutter ist unbekannt"
"stats.averageAge";"Průměrná délka života";"Average age";"Priemerná dĺžka života";"durchschnittliche Lebenslänge"
"stats.averageMarriageAge";"Průměrný věk při 1. sňatku";"Average age at first wedding";"Priemerný vek pri 1. sobáši";"Durchschnittliches Alter bei der 1. Ehe"
"stats.averageFirstChildAge";"Průměrný věk při 1. dítěti";"Average age at first child";"Priemerný vek pri 1. dieťati";"Durchschnittliches Alter bei dem 1. Kind"
"stats.mostFrequentName";"Nejčastější jméno: {0} ({1}x)";"The most frequent name: {0} ({1}x)";"Najčastejšie meno: {0} ({1}x)";"Der häufigste Name: {0} ({1}x)"
"stats.maxChildrenCount";"Maximální počet dětí je {0}. {1, choice, 1#Měla je|2#Měly je} {2}.";"Maximum number of children is {0}. {1, choice, 1#This parent is|2#These parents are} {2}.";"Maximálny počet detí je {0}. {1, choice, 1#Mala ich|2#Mali ich} {2}.";"Maximale Anzahl der Kinder {0}. {1, choice, 1#Sie hatte es|2#Sie hatten die} {2}."
"stats.otherInterestingData";"Další zajímavosti";"Next matters of interest";"Ďalšie zaujímavosti";"Weitere interessante Angaben"
"stats.mostFrequentBirthMonth";"Nejvíce lidí se narodilo v {0} ({1}x)";"The most of the people was born in {0} ({1}x)";"Najviac ľudí sa narodilo {0} ({1}x)";"Die meisten Menschen geboren in {0} ({1}x)"
"stats.leastFrequentBirthMonth";"Nejméně lidí se narodilo v {0} ({1}x)";"The least of the people was born in {0} ({1}x)";"Najmenej ľudí sa narodilo {0} ({1}x)";"Mindestzahl der Menschen wurden geboren  {0} ({1}x)"
"stats.mostFrequentBirthDay";"Nejvíce lidí se narodilo {0} ({1}x)";"The most of the people was born on {0} ({1}x)";"Najviac ľudí sa narodilo {0} ({1}x)";"Die meisten Menschen geboren {0} ({1}x)"
"stats.leastFrequentBirthDay";"Nejméně lidí se narodilo {0} ({1}x)";"The least of the people was born on {0} ({1}x)";"Najmenej ľudí sa narodilo {0} ({1}x)";"Mindestzahl der Menschen wurden geboren {0} ({1}x)"
"stats.mostFrequentDeathMonth";"Nejvíce lidí zemřelo v {0} ({1}x)";"The most of the people died in {0} ({1}x)";"Najviac ľudí zomrelo {0} ({1}x)";"Die meisten Menschen starben in {0} ({1}x)"
"stats.leastFrequentDeathMonth";"Nejméně lidí zemřelo v {0} ({1}x)";"The least of the people died in {0} ({1}x)";"Najmenej ľudí zomrelo {0} ({1}x)";"Mindestzahl der Menschen sind in verstorben {0} ({1}x)"
"stats.mostFrequentDeathDay";"Nejvíce lidí zemřelo {0} ({1}x)";"The most of the people died on {0} ({1}x)";"Najviac ľudí zomrelo {0} ({1}x)";"Die meisten Menschen starben in {0} ({1}x)"
"stats.leastFrequentDeathDay";"Nejméně lidí zemřelo {0} ({1}x)";"The least of the people died on {0} ({1}x)";"Najmenej ľudí zomrelo {0} ({1}x)";"Mindestzahl der  Menschen sind in verstorben {0} ({1}x)"
"stats.mostFrequentWeddingMonth";"Nejvíce svateb bylo v {0} ({1}x)";"The most weddings was in {0} ({1}x)";"Najviac svadieb bolo {0} ({1}x)";"Die meisten Hochzeiten waren in {0} ({1}x)"
"stats.leastFrequentWeddingMonth";"Nejméně svateb bylo v {0} ({1}x)";"The least weddings was in {0} ({1}x)";"Najmenej svadieb bolo {0} ({1}x)";"Die wenigsten Hochzeiten waren {0} ({1}x)"
"stats.mostFrequentWeddingDay";"Nejvíce svateb bylo {0} ({1}x)";"The most weddings was on {0} ({1}x)";"Najviac svadieb bolo {0} ({1}x)";"Die meisten Hochzeiten waren in {0} ({1}x)"
"stats.leastFrequentWeddingDay";"Nejméně svateb bylo {0} ({1}x)";"The least weddings was on {0} ({1}x)";"Najmenej svadieb bolo {0} ({1}x)";"Die wenigsten Hochzeiten waren {0} ({1}x)"
"stats.frequentMonth.month";"{0, choice, 1#lednu|2#únoru|3#březnu|4#dubnu|5#květnu|6#červnu|7#červenci|8#srpnu|9#září|10#říjnu|11#listopadu|12#prosinci}";"{0, choice, 1#January|2#February|3#March|4#April|5#May|6#June|7#July|8#August|9#September|10#October|11#November|12#December}";"{0, choice, 1#v januári|2#vo februári|3#v marci|4#v apríli|5#v máji|6#v júni|7#v júli|8#v auguste|9#v septembri|10#v októbri|11#v novembri|12#v decembri}";"{0, choice, 1#in Januar|2#in Februar|3#in März|4#in April|5#in Mai|6#in Juni|7#in Juli|8#in August|9#in September|10#in Oktober|11#in November|12#in Dezember}"
"stats.frequentDay.day";"{0, choice, 1#v neděli|2#v pondělí|3#v úterý|4#ve středu|5#ve čtvrtek|6#v pátek|7#v sobotu}";"{0, choice, 1#Sunday|2#Monday|3#Tuesday|4#Wednesday|5#Thursday|6#Friday|7#Saturday}";"{0, choice, 1#v nedeľu|2#v pondelok|3#v utorok|4#v stredu|5#vo štvrtok|6#v piatok|7#v sobotu}";"{0, choice, 1#in Sonntag|2#in Montag|3#in Dienstag|4#in Mittwoch|5#in Donnerstag|6#in Freitag|7#in Samstag}"
"stats.minWomanAgeOnWedding";"Nejmladší nevěsta";"The youngest bride";"Najmladšia nevesta";"Jüngste Braut"
"stats.minManAgeOnWedding";"Nejmladší ženich";"The youngest groom";"Najmladší ženích";"Jüngster Bräutigam"
"stats.maxWomanAgeOnWedding";"Nejstarší nevěsta";"The oldest bride";"Najstaršia nevesta";"Älteste Braut"
"stats.maxManAgeOnWedding";"Nejstarší ženich";"The oldest groom";"Najstarší ženích";"Ältester Bräutigam"
"stats.event.wedding";"věk při svatbě:";"age at wedding:";"vek v čase svadby:";"Alter bei der Hochzeit:"
"stats.minWomanAgeOnChild";"Nejmladší matka";"The youngest mother";"Najmladšia matka";"Jüngste Mutter"
"stats.minManAgeOnChild";"Nejmladší otec";"The younges father";"Najmladší otec";"Jüngster Vater"
"stats.maxWomanAgeOnChild";"Nejstarší matka";"The oldest mother";"Najstaršia matka";"Älteste Mutter"
"stats.maxManAgeOnChild";"Nejstarší otec";"The oldest father";"Najstarší otec";"Ältester Vater"
"stats.minWomanAgeOnGrandChild";"Nejmladší babička";"The youngest grandmother";"Najmladšia stará mama";"Die jüngste Großmutter"
"stats.minManAgeOnGrandChild";"Nejmladší děda";"The youngest grandfather";"Najmladší starý otec";"Der jüngste Großvater"
"stats.maxWomanAgeOnGrandChild";"Nejstarší babička";"The oldest grandmother";"Najstaršia stará mama";"Die älteste Großmutter"
"stats.maxManAgeOnGrandChild";"Nejstarší děda";"The oldest grandfather";"Najstarší starý otec";"Der älteste Großvater"
"stats.event.child";"věk při narození dítěte:";"age at birth of child:";"vek pri narodení dieťaťa:";"Alter bei der Geburt des Kindes:"
"stats.event.grandChild";"věk při narození vnoučete:";"age at birth of grandchild:";"vek pri narodení vnúčaťa:";"Alter bei der Geburt des Enkels:"
"stats.maxWomanAgeOnFirstChild";"Nejvyšší věk matky při prvním dítěti";"Maximal age of mother on first child";"Najvyšší vek matky pri prvom dieťati";"Maximales Alter der Mutter bei der Geburt des ersten Kindes"
"stats.maxManAgeOnFirstChild";"Nejvyšší věk otce při prvním dítěti";"Maximal age of father on first child";"Najvyšší vek otca pri prvom dieťati";"Maximales Alter des Vaters bei der Geburt des ersten Kindes"
"stats.maxWomanAgeOnFirstGrandChild";"Nejvyšší věk babičky při prvním vnoučeti";"Maximal age of grandmother on first grandchild";"Najvyšší vek babky pri prvom vnúčati";"Maximales Alter der Großmutter bei der Geburt des ersten Enkelkindes"
"stats.maxManAgeOnFirstGrandChild";"Nejvyšší věk dědečka při prvním vnoučeti";"Maximal age of grandfather on first grandchild";"Najvyšší vek dedka pri prvom vnúčati";"Maximales Alter des Großvater bei der Geburt des ersten Enkelkindes"
"stats.minWomanAgeOnGreatGrandChild";"Nejmladší prababička";"The youngest great-grandmother";"Najmladšia prababka";"Jüngste Urgroßmutter"
"stats.minManAgeOnGreatGrandChild";"Nejmladší praděda";"The youngest great-grandfather";"Najmladší pradedko";"Jüngster Urgroßvater"
"stats.maxWomanAgeOnGreatGrandChild";"Nejstarší prababička";"The oldest great-grandmother";"Najstaršia prababka";"Älteste Urgroßmutter"
"stats.maxManAgeOnGreatGrandChild";"Nejstarší praděda";"The oldest great-grandfather";"Najstarší pradedko";"Ältester Urgroßvater"
"stats.event.greatGrandChild";"věk při narození pravnoučete:";"age at birth of great-grandchild:";"vek pri narodení pravnúčaťa:";"Alter bei der Geburt des Urenkeln:"
"stats.maxWomanAgeOnFirstGreatGrandChild";"Nejvyšší věk prababičky při prvním pravnoučeti";"Maximal age of great-grandmother on first great-grandchild";"Najvyšší vek prababky pri prvom pravnúčati";"Höchstes Alter der Urgroßmutter beim ersten Urenkel"
"stats.maxManAgeOnFirstGreatGrandChild";"Nejvyšší věk pradědečka při prvním pravnoučeti";"Maximal age of great-grandfather on first great-grandchild";"Najvyšší vek pradedka pri prvom pravnúčati";"Höchstes Alter des Urgroßvaters beim ersten Urenkel"
"stats.minManMarriageLenght";"Nejkratší manželství";"The shortest marriage";"Najkratšie manželstvo";"Kürzeste Ehe"
"stats.maxManMarriageLenght";"Nejdelší manželství";"The longest marriage";"Najdlhšie manželstvo";"Längste Ehe"
"stats.partnershipDetail";"detaily manželství";"marriage details";"detaily manželstva";"Details der Ehe"
"stats.birthDayMonth";"Dny a měsíce narození";"Week days and months of birth";"Dni a mesiace narodenia";"Tage und Monate der Geburt "
"stats.deathDayMonth";"Dny a měsíce úmrtí";"Week days and months of death";"Dni a mesiace úmrtia";"Tage und Monate zum Zeitpunkt des Todes"
"stats.weddingDayMonth";"Dny a měsíce svateb";"Week days and months of wedding";"Dni a mesiace svadieb";"Tage und Monate der Hochzeiten"
"stats.weddingData";"Svatby";"Weddings";"Svadby";"Hochzeiten"
"stats.parentsData";"Rodiče";"Parents";"Rodičia";"Eltern"
"stats.grandParentsData";"Prarodiče";"Grandparents";"Prarodičia";"Großeltern"
"stats.greatGrandParentsData";"Praprarodiče";"Great-grandparents";"Praprarodičia";"Urgroßeltern"
"person.man.nee";"rozený";"nee";"rodený";"geboren:"
"person.woman.nee";"rozená";"nee";"rodená";"geborene:"
"index.authorInfo";"Rodokmen zpracoval {0}";"This family data was collected by {0}";"Rodokmeň spracoval {0}";"Stammbaum erarbeitet von {0}"
"index.authorInfo2";"(spolupracoval(i) {0})";"(with cooperation of {0})";"(spolupracoval(i) {0})";"(Zusammenarbeit an dem Familien staummbaum: {0})"
"index.authorInfo3";"při generování byl použit profil &quot;{0}&quot; a grafická šablona &quot;{1}&quot;.";"these pages were generated by using profile &quot;{0}&quot; and html template &quot;{1}&quot;.";"pri generovaní bol použitý profil &quot;{0}&quot; a grafická šablóna &quot;{1}&quot;.";"Profil verwendet beim generieren &quot;{0}&quot; und Grafik-Templates &quot;{1}&quot;."
"index.groupInfo";"Zahrnuty byly pouze osoby ze {1, choice, 1#skupiny|2#skupin} {0}{2, choice, 0#.|1#}";"Only people of {1, choice, 1#group|2#groups} {0} were included{2, choice, 0#.|1#}";"Zahrnuté boli iba osoby zo {1, choice, 1#skupiny|2#skupín} {0}{2, choice, 0#.|1#}";"Einbezogen wurden nur Personen aus {1, choice, 1#Gruppe|2#Gruppen} {0}{2, choice, 0#.|1#}"
"index.groupInfo2";"{2, choice, 0#O|1#, o}soby ze {1, choice, 1#skupiny|2#skupin} {0} byly vynechány.";"{2, choice, 0#P|1#, p}eople of {1, choice, 1#group|2#groups} {0} were excluded.";"{2, choice, 0#O|1#, o}soby zo {1, choice, 1#skupiny|2#skupín} {0} boli vynechané.";"{2, choice, 0#O|1#, P}ersonen aus {1, choice, 1#Gruppe|2#Gruppen} {0} ausgelassen."
"separator";"a";"and";"a";"und"
